out, in1, in2, in3, in4, in5
2.1084296298315057, 0.2897415530239099, 0.14888328555631247, 0.37408270675596433, 0.745287199295302, 0.7743525341267408
2.164612333775774, 0.6278981971030809, 0.9794647569790058, 0.4688684577342105, 0.9326241500705507, 0.8549516989848646
2.769062586922899, 0.6501208144295791, 0.2674440022097626, 0.09614785764017098, 0.6414870816023737, 0.3467756817823655
1.0888732799539456, 0.0016298726083282533, 0.8795927114205894, 0.04039871284808316, 0.3505345488246373, 0.5926431821527375
2.9451897231795052, 0.9829786763493306, 0.24312845701368302, 0.8581586412701347, 0.06266000545375527, 0.26142706022922513
2.5486330509642885, 0.5531636322129768, 0.778688228279356, 0.0674943762064607, 0.9918875019701818, 0.26891583419075105
2.294752104500577, 0.4489844809050342, 0.9458996694058951, 0.15107790249278452, 0.3957155894249954, 0.27027850083609684
1.4847268614393516, 0.11854631852911279, 0.6878828731732004, 0.4964318007148012, 0.6175479785623069, 0.29434057125420876
1.4572439983756411, 0.22014635280152617, 0.19235842645800083, 0.4799440279162668, 0.9718526527937668, 0.004645159208347294
2.9311887099590583, 0.7264276309786298, 0.7199040191692097, 0.3689187624181143, 0.8690165383982402, 0.6707969265249837
1.9862856177919115, 0.7772137757153788, 0.4434351459211632, 0.6876114848460494, 0.6184053036492431, 0.4865147484188932
0.8130337845639061, 0.6613789542986398, 0.21390047987080352, 0.11012766203895807, 0.8288740934749135, 0.062258969251226315
2.1400399083265422, 0.1630305961193249, 0.5148522957921644, 0.6544901665610602, 0.15945039190930255, 0.331558827785544
2.34795735213525, 0.41341457872411724, 0.5971516488629651, 0.7969364716955711, 0.3205335227539139, 0.7899220106304959
1.4416633906480465, 0.8059404485229754, 0.08514261444663462, 0.40778392060159163, 0.8778370295294904, 0.4235897304603705
1.6591195909588146, 0.22970581967994774, 0.6853773006632417, 0.5179388118106967, 0.9617780851673924, 0.5827082451771296
0.9417365190259471, 0.08775625453855074, 0.6602300864724805, 0.40545488229971016, 0.9915844906484326, 0.24777430908595643
2.2986302626499797, 0.7775282549001977, 0.18218134821094467, 0.949878035835847, 0.8442132519190413, 0.4384292969076724
1.623868107596524, 0.26003420778162667, 0.9574683174815595, 0.9132097734691759, 0.7963620467445515, 0.2917230175611043
1.6599970460082054, 0.4785632079135662, 0.10384954378245426, 0.6233914289781121, 0.6027694218052079, 0.9301550351899913
2.4702499623755294, 0.5027783072975106, 0.9523196083280595, 0.8480887563259517, 0.46817210080612137, 0.9049233978864426
1.6960191190378386, 0.7180193914410198, 0.3449601829980262, 0.09274709779057688, 0.29914781758928943, 0.14166338605592932
2.070446557343939, 0.40184144621804696, 0.1945768152043147, 0.6173307792807917, 0.3429262474744308, 0.7317904656532532
3.0641338283263266, 0.7214802757861192, 0.9703336270034608, 0.8014059332902752, 0.10053690012046013, 0.9498117421690431
1.4330234584655996, 0.18343077693911058, 0.4632133840821395, 0.6470590242161258, 0.49627716295229574, 0.09102532399378038
1.432694361860579, 0.3143876914172953, 0.6216629312191284, 0.594939777307005, 0.8720227900656385, 0.30491614085924723
0.4782916365896116, 0.06615729485763056, 0.21822125406239956, 0.3758193986164945, 0.4009707269651228, 0.038491323937848376
2.852198948422682, 0.6679550409172855, 0.19766725839918764, 0.6700947552657165, 0.5871627034679817, 0.8996524700421106
1.658639523840375, 0.34097685937563194, 0.7939230299908024, 0.3604160659861674, 0.09297750539713134, 0.3700069420093818
2.0606709698079193, 0.15121062764964655, 0.756180183896844, 0.4825158316251683, 0.8943209051003457, 0.9529571952430345
1.8638721240388012, 0.2285576165904607, 0.28684646660568447, 0.6516156537256568, 0.44326686471305443, 0.920880349107732
